fecha;PM10;CO;OZONO;NO;NO2;NOX;SO2;Vel Viento 10M;Dir Viento 10M;Temperatura;Precipitacion;PM2.5;HR;BBP;Presion Baro;BC
1/12/2023 1:00;44;1,13;0,2;192,8;13,9;206,7;0;0;302;7,1;0;24;81,97;0;564;0
1/12/2023 2:00;50;1,13;0,2;264,9;13,2;278;0;0;349;5,9;0;30;82,48;0;564;0
1/12/2023 3:00;42;0,64;0,1;199,7;13,7;213,4;0;0;323;5,7;0;23;83,96;0;564;0
1/12/2023 4:00;30;0,4;0,2;144,2;9,6;153,9;0;0;311;4,9;0;18;83,77;0;564;0
1/12/2023 5:00;45;0,62;0,2;235,4;14,2;249,6;0;0,6;314;4,6;0;30;84,19;0;564;0
1/12/2023 6:00;54;0,68;0,3;174,1;17,1;191,3;0;0,8;31;6,3;0;30;86,02;0;564;0
1/12/2023 7:00;47;0,58;0,6;80,4;14,8;95,2;0;0,9;355;7,5;0;30;86,75;0;565;0
1/12/2023 8:00;68;0,55;2,8;61,9;14,1;76;0;1;336;9,9;0;34;87,1;0;565;0
1/12/2023 9:00;53;0,32;9,2;27,1;7,6;34,8;0;1;311;16,7;0;27;68,56;0;565;0
1/12/2023 10:00;20;0,09;15,3;8,3;0,4;8,7;0;1,4;155;19,8;0;8;43,56;0;565;0
1/12/2023 11:00;22;0,04;18,6;0;0;0;0;1,5;315;21,3;0;6;37,34;0;565;0
1/12/2023 12:00;17;0,04;19,6;0;0;0;0;1,8;181;22,3;0;7;32,72;0;564;0
1/12/2023 13:00;23;0,08;18,4;0;0;0;0;2;169;23,4;0;6;30;0;564;0
1/12/2023 14:00;24;0,08;18,3;0;0;0;0;2,2;176;24,1;0;5;28,57;0;563;0
1/12/2023 15:00;20;0,1;16,9;0;0;0;0;2,4;137;23,6;0;6;30,28;0;563;0
1/12/2023 16:00;24;0,14;14,8;9,8;2,6;12,3;0;2,1;117;23;0;8;32,3;0;563;0
1/12/2023 17:00;21;0,16;13,5;9,4;3,4;12,8;0;2,2;95;20,7;0;10;36,4;0;563;0
1/12/2023 18:00;23;0,2;11,2;8,5;6,7;15,2;0;1,7;115;16,9;0;10;49,05;0;563;0
1/12/2023 19:00;20;0,13;12,1;4,1;5;9;0;1,3;288;14,8;0;6;60,23;0;563;0
