Estacion;Fecha inicial;PM10
ZIPAQUIRÁ - EFZ;2024-02-03 15:00;13.68
ZIPAQUIRÁ - EFZ;2024-02-03 14:00;12.88
ZIPAQUIRÁ - EFZ;2024-02-03 13:00;16.2
ZIPAQUIRÁ - EFZ;2024-02-03 12:00;19.13
ZIPAQUIRÁ - EFZ;2024-02-03 11:00;24.26
ZIPAQUIRÁ - EFZ;2024-02-03 10:00;45.64
ZIPAQUIRÁ - EFZ;2024-02-03 09:00;58.19
ZIPAQUIRÁ - EFZ;2024-02-03 08:00;48.52
ZIPAQUIRÁ - EFZ;2024-02-03 07:00;46.99
ZIPAQUIRÁ - EFZ;2024-02-03 06:00;50.71
ZIPAQUIRÁ - EFZ;2024-02-03 05:00;35.54
ZIPAQUIRÁ - EFZ;2024-02-03 04:00;38.38
ZIPAQUIRÁ - EFZ;2024-02-03 03:00;25.71
ZIPAQUIRÁ - EFZ;2024-02-03 02:00;23.57
ZIPAQUIRÁ - EFZ;2024-02-03 01:00;23.32
ZIPAQUIRÁ - EFZ;2024-02-03 00:00;27.76
ZIPAQUIRÁ - EFZ;2024-02-02 23:00;29.86
ZIPAQUIRÁ - EFZ;2024-02-02 22:00;31.71
ZIPAQUIRÁ - EFZ;2024-02-02 21:00;29.34
ZIPAQUIRÁ - EFZ;2024-02-02 20:00;38.78
ZIPAQUIRÁ - EFZ;2024-02-02 19:00;41.78
ZIPAQUIRÁ - EFZ;2024-02-02 18:00;39.38
ZIPAQUIRÁ - EFZ;2024-02-02 17:00;27.93
ZIPAQUIRÁ - EFZ;2024-02-02 16:00;17.74
ZIPAQUIRÁ - EFZ;2024-02-02 15:00;19.74
ZIPAQUIRÁ - EFZ;2024-02-02 14:00;24.65
ZIPAQUIRÁ - EFZ;2024-02-02 13:00;31.48
ZIPAQUIRÁ - EFZ;2024-02-02 12:00;30.65
ZIPAQUIRÁ - EFZ;2024-02-02 11:00;39.36
ZIPAQUIRÁ - EFZ;2024-02-02 10:00;42.41
ZIPAQUIRÁ - EFZ;2024-02-02 09:00;49.24
ZIPAQUIRÁ - EFZ;2024-02-02 08:00;79.57
ZIPAQUIRÁ - EFZ;2024-02-02 07:00;52.62
ZIPAQUIRÁ - EFZ;2024-02-02 06:00;36.14
ZIPAQUIRÁ - EFZ;2024-02-02 05:00;36.17
ZIPAQUIRÁ - EFZ;2024-02-02 04:00;26.84
ZIPAQUIRÁ - EFZ;2024-02-02 03:00;27.79
ZIPAQUIRÁ - EFZ;2024-02-02 02:00;24.98
ZIPAQUIRÁ - EFZ;2024-02-02 01:00;30.03
ZIPAQUIRÁ - EFZ;2024-02-02 00:00;28.29
ZIPAQUIRÁ - EFZ;2024-02-01 23:00;35.91
ZIPAQUIRÁ - EFZ;2024-02-01 22:00;45.06
ZIPAQUIRÁ - EFZ;2024-02-01 21:00;47.16
ZIPAQUIRÁ - EFZ;2024-02-01 20:00;41.07
ZIPAQUIRÁ - EFZ;2024-02-01 19:00;36.19
ZIPAQUIRÁ - EFZ;2024-02-01 18:00;35.84
ZIPAQUIRÁ - EFZ;2024-02-01 17:00;55.58
ZIPAQUIRÁ - EFZ;2024-02-01 16:00;36.6
ZIPAQUIRÁ - EFZ;2024-02-01 15:00;25.85
ZIPAQUIRÁ - EFZ;2024-02-01 14:00;26.62
ZIPAQUIRÁ - EFZ;2024-02-01 13:00;22.81
ZIPAQUIRÁ - EFZ;2024-02-01 12:00;30.54
ZIPAQUIRÁ - EFZ;2024-02-01 11:00;39.97
ZIPAQUIRÁ - EFZ;2024-02-01 10:00;49.99
ZIPAQUIRÁ - EFZ;2024-02-01 09:00;80.13
ZIPAQUIRÁ - EFZ;2024-02-01 08:00;108.03
ZIPAQUIRÁ - EFZ;2024-02-01 07:00;46.53
ZIPAQUIRÁ - EFZ;2024-02-01 06:00;40.57
ZIPAQUIRÁ - EFZ;2024-02-01 05:00;36.38
ZIPAQUIRÁ - EFZ;2024-02-01 04:00;29.94
ZIPAQUIRÁ - EFZ;2024-02-01 03:00;17.23
ZIPAQUIRÁ - EFZ;2024-02-01 02:00;20.46
ZIPAQUIRÁ - EFZ;2024-02-01 01:00;24.42
ZIPAQUIRÁ - EFZ;2024-02-01 00:00;35.31
ZIPAQUIRÁ - EFZ;2024-01-31 23:00;27.74
ZIPAQUIRÁ - EFZ;2024-01-31 22:00;25.05
ZIPAQUIRÁ - EFZ;2024-01-31 21:00;28.37
ZIPAQUIRÁ - EFZ;2024-01-31 20:00;59.65
ZIPAQUIRÁ - EFZ;2024-01-31 19:00;45.77
ZIPAQUIRÁ - EFZ;2024-01-31 18:00;39.54
ZIPAQUIRÁ - EFZ;2024-01-31 17:00;39.73
ZIPAQUIRÁ - EFZ;2024-01-31 16:00;30.38
ZIPAQUIRÁ - EFZ;2024-01-31 15:00;25.28
ZIPAQUIRÁ - EFZ;2024-01-31 14:00;32.73
ZIPAQUIRÁ - EFZ;2024-01-31 13:00;34.02
ZIPAQUIRÁ - EFZ;2024-01-31 12:00;41.97
ZIPAQUIRÁ - EFZ;2024-01-31 11:00;61.6
ZIPAQUIRÁ - EFZ;2024-01-31 10:00;107.03
ZIPAQUIRÁ - EFZ;2024-01-31 09:00;107.25
ZIPAQUIRÁ - EFZ;2024-01-31 08:00;114.3
ZIPAQUIRÁ - EFZ;2024-01-31 07:00;72.43
ZIPAQUIRÁ - EFZ;2024-01-31 06:00;70.94
ZIPAQUIRÁ - EFZ;2024-01-31 05:00;54.6
