Estacion;Fecha inicial;PM2.5
ZIPAQUIRÁ - EFZ;2024-02-03 15:00;7.44
ZIPAQUIRÁ - EFZ;2024-02-03 14:00;8.0
ZIPAQUIRÁ - EFZ;2024-02-03 13:00;10.98
ZIPAQUIRÁ - EFZ;2024-02-03 12:00;13.43
ZIPAQUIRÁ - EFZ;2024-02-03 11:00;17.45
ZIPAQUIRÁ - EFZ;2024-02-03 10:00;25.76
ZIPAQUIRÁ - EFZ;2024-02-03 09:00;32.05
ZIPAQUIRÁ - EFZ;2024-02-03 08:00;29.54
ZIPAQUIRÁ - EFZ;2024-02-03 07:00;26.17
ZIPAQUIRÁ - EFZ;2024-02-03 06:00;22.65
ZIPAQUIRÁ - EFZ;2024-02-03 05:00;17.55
ZIPAQUIRÁ - EFZ;2024-02-03 04:00;17.42
ZIPAQUIRÁ - EFZ;2024-02-03 03:00;14.48
ZIPAQUIRÁ - EFZ;2024-02-03 02:00;12.78
ZIPAQUIRÁ - EFZ;2024-02-03 01:00;14.98
ZIPAQUIRÁ - EFZ;2024-02-03 00:00;17.1
ZIPAQUIRÁ - EFZ;2024-02-02 23:00;19.71
ZIPAQUIRÁ - EFZ;2024-02-02 22:00;19.58
ZIPAQUIRÁ - EFZ;2024-02-02 21:00;18.14
ZIPAQUIRÁ - EFZ;2024-02-02 20:00;20.89
ZIPAQUIRÁ - EFZ;2024-02-02 19:00;22.4
ZIPAQUIRÁ - EFZ;2024-02-02 18:00;16.49
ZIPAQUIRÁ - EFZ;2024-02-02 17:00;9.03
ZIPAQUIRÁ - EFZ;2024-02-02 16:00;7.96
ZIPAQUIRÁ - EFZ;2024-02-02 15:00;9.36
ZIPAQUIRÁ - EFZ;2024-02-02 14:00;10.31
ZIPAQUIRÁ - EFZ;2024-02-02 13:00;12.17
ZIPAQUIRÁ - EFZ;2024-02-02 12:00;12.83
ZIPAQUIRÁ - EFZ;2024-02-02 11:00;12.96
ZIPAQUIRÁ - EFZ;2024-02-02 10:00;16.83
ZIPAQUIRÁ - EFZ;2024-02-02 09:00;25.97
ZIPAQUIRÁ - EFZ;2024-02-02 08:00;32.5
ZIPAQUIRÁ - EFZ;2024-02-02 07:00;23.36
ZIPAQUIRÁ - EFZ;2024-02-02 06:00;20.43
ZIPAQUIRÁ - EFZ;2024-02-02 05:00;18.88
ZIPAQUIRÁ - EFZ;2024-02-02 04:00;16.79
ZIPAQUIRÁ - EFZ;2024-02-02 03:00;17.52
ZIPAQUIRÁ - EFZ;2024-02-02 02:00;15.74
ZIPAQUIRÁ - EFZ;2024-02-02 01:00;18.17
ZIPAQUIRÁ - EFZ;2024-02-02 00:00;17.64
ZIPAQUIRÁ - EFZ;2024-02-01 23:00;19.69
ZIPAQUIRÁ - EFZ;2024-02-01 22:00;24.16
ZIPAQUIRÁ - EFZ;2024-02-01 21:00;24.01
ZIPAQUIRÁ - EFZ;2024-02-01 20:00;22.85
ZIPAQUIRÁ - EFZ;2024-02-01 19:00;21.25
ZIPAQUIRÁ - EFZ;2024-02-01 18:00;22.12
ZIPAQUIRÁ - EFZ;2024-02-01 17:00;22.39
ZIPAQUIRÁ - EFZ;2024-02-01 16:00;13.98
ZIPAQUIRÁ - EFZ;2024-02-01 15:00;12.7
ZIPAQUIRÁ - EFZ;2024-02-01 14:00;12.73
ZIPAQUIRÁ - EFZ;2024-02-01 13:00;10.16
ZIPAQUIRÁ - EFZ;2024-02-01 12:00;13.39
ZIPAQUIRÁ - EFZ;2024-02-01 11:00;17.94
ZIPAQUIRÁ - EFZ;2024-02-01 10:00;26.98
ZIPAQUIRÁ - EFZ;2024-02-01 09:00;35.78
ZIPAQUIRÁ - EFZ;2024-02-01 08:00;37.52
ZIPAQUIRÁ - EFZ;2024-02-01 07:00;26.12
ZIPAQUIRÁ - EFZ;2024-02-01 06:00;24.19
ZIPAQUIRÁ - EFZ;2024-02-01 05:00;19.47
ZIPAQUIRÁ - EFZ;2024-02-01 04:00;14.61
ZIPAQUIRÁ - EFZ;2024-02-01 03:00;12.61
ZIPAQUIRÁ - EFZ;2024-02-01 02:00;15.23
ZIPAQUIRÁ - EFZ;2024-02-01 01:00;16.61
ZIPAQUIRÁ - EFZ;2024-02-01 00:00;20.27
